;marketPriceBTCInUSD;tradeVolume;medianConfirmationTime;blocksSize;costPerTransactionPercent;difficulty;hashRate;numberOfTransactionsPerBlock;totalTransactions;totalAdressesTransactions;numberOfcirculatingBitcoins;marketCapitalization
2016-01-01;432.33;20406959.2119;7.7833333333;53710;2.6150875125;1467328.02;697129.166406;1304;101247924;232199;15031975;6498773751.75
2016-02-01;433.94;15069490.9225;10.0333333333;53789;3.2649610897;1498828.76;707457.005908;1235;101390828;334703;15035400;6524461476
2016-03-01;428.13;23322149.802;7.1333333333;53867;3.0962180291;1604631.24;769424.042922;1085;101531892;295177;15039125;6438700586.25
2016-04-01;433;21949458.6916;6.3833333333;53962;2.3481192252;1906932;903685.956452;1121;101702068;363742;15043500;6513835500
2016-05-01;431.9;20487753.0816;6.7333333333;54067;1.964872521;1774245.2;841718.919438;968;101889080;365051;15047575;6499047642.5
2016-06-01;430.75;19156844.9786;9.45;54160;1.5942515492;1477472.5;702293.086157;1057;102066558;338929;15050975;6483207481.25
2016-07-01;453.71;58478075.9822;10;54257;1.2929318122;1648782.14;743604.444166;1117;102244431;326219;15054575;6830411223.25
2016-08-01;447.04;41191540.305;7.2166666667;54366;1.6278743117;1971446.4;903685.956452;1252;102434432;366508;15058950;6731953008
2016-09-01;450.15;17656850.6046;7.2166666667;54462;2.5612458856;1802400.6;821063.240434;1389;102612806;371151;15062925;6780575688.75
2016-10-01;446.24;20063783.1186;6.6833333333;54552;2.2313985756;1909014.72;877866.357696;1504;102777493;363228;15067175;6723576172
2016-11-01;447.11;25254134.411;6.7;54660;1.7925407623;1914972.13;877866.357696;1369;102957264;365605;15071425;6738584831.75
2016-12-01;446.66;20987190.7616;6.7333333333;54763;1.9994186144;1980490.44;908849.876203;1386;103153920;372889;15075825;6733767994.5
2016-13-01;429.57;45901744.1211;7.45;54864;1.5432361691;1657710.63;862135.539442;1222;103345548;341119;15079650;6477765250.5
2016-14-01;431.9;19112138.8037;8.8833333333;54961;1.6286555447;1439090.8;743803.210499;1380;103528938;354601;15082950;6514326105
2016-15-01;391.62;116205455.818;10.5;55057;0.954809184;1217938.2;693089.355238;1342;103714043;344968;15086025;5907989110.5
2016-16-01;370.4;71683286.4755;9.3;55162;1.153545077;1300104;783247.320146;1568;103904344;393797;15089500;5589150800
2016-17-01;385.45;25665045.6335;8.4333333333;55265;1.9482809769;1352544.05;783247.320146;1370;104097075;447783;15092975;5817587213.75
2016-18-01;385.28;25780217.133;5.95;55381;2.29852086;1700240.64;986102.741192;1122;104311009;395421;15097350;5816707008
2016-19-01;378.66;25270093.755;8.3166666667;55493;1.6521743747;1425654.9;839596.048215;1166;104516744;382142;15101075;5718173059.5
2016-20-01;408.33;78165567.7533;8.5833333333;55619;1.177138386;1509187.68;822691.429794;1217;104712777;387569;15104725;6167712359.25
2016-21-01;408;37002467.8592;9.1666666667;55731;1.0235460194;1384752;755072.956112;1440;104923017;406195;15108075;6164094600
2016-22-01;385.7;59059297.6044;8.3333333333;55850;1.5745857782;1610297.5;929754.013123;1470;105149123;413921;15112200;5828775540
2016-23-01;388.5;24905687.7316;6.4833333333;55959;1.6062348508;1754466;1008642.23242;1563;105350036;435226;15116675;5872828237.5
2016-24-01;404.75;26166918.645;8.0333333333;56058;2.117654891;1694688.25;935388.88593;1309;105543608;383842;15120825;6120153918.75
2016-25-01;387.09;27947836.8106;6.9;56170;0.9410453429;1691196.21;974832.995578;1186;105754200;404020;15125150;5854794313.5
2016-26-01;394.12;23253230.3312;8.5166666667;56293;1.3124627904;1634415.64;978569.915444;942;105990375;462802;15129250;5962740010
2016-27-01;394.45;17463880.6874;7.6666666667;56405;1.1414615469;1537171.65;918901.018161;1260;106216760;414610;15133100;5969251295
2016-28-01;382.44;30483418.7072;9.55;56525;0.9504215387;1434150;883099.679791;1414;106448214;445935;15136800;5788917792
2016-29-01;377.26;54312432.201;7.05;56637;1.1014958672;1620331.7;1014371.25381;1149;106670836;424226;15141050;5712112523
2016-30-01;378.24;14343796.7501;7.25;56750;1.1468528679;1689976.32;1056139.48191;1086;106880820;428332;15145475;5728624464
2016-31-01;376.86;17760429.7968;6.8166666667;56843;2.2290299901;1698131.16;1068073.26137;1199;107049445;384209;15149950;5709410157
2016-01-02;372;28865406.8139;8.55;56968;1.0982729534;1655772;1050172.59218;1218;107271209;437884;15154350;5637418200
2016-02-02;373.48;19943929.1014;8.6666666667;57103;1.0738564941;1552556.36;978569.915444;1165;107503207;451155;15158450;5661377906
2016-03-02;368.38;23767287.735;7.4833333333;57224;1.5016448484;1620135.24;1038238.81273;1369;107703294;388710;15162800;5585672264
