;marketPriceBTCInUSD;tradeVolume;medianConfirmationTime;blocksSize;costPerTransactionPercent;difficulty;hashRate;numberOfTransactionsPerBlock;totalTransactions;totalAdressesTransactions;numberOfcirculatingBitcoins;marketCapitalization
2015-01-01;315.7;5553875.016;7.15;27835.0;5.24472107894;1312680.6;335365.290092;555.0;55521860;116012;13674725.0;4317110682.5
2015-02-01;316.15;6440895.954;6.93333333333;27875.0;4.47731193022;1267761.5;323243.653101;627.0;55594094;168563;13678725.0;4324528908.75
2015-03-01;302.33;29383119.753;6.43333333333;27922.0;2.277048877;1242878.63;331324.744428;734.0;55676926;207571;13682825.0;4136728482.25
2015-04-01;270.93;53104792.2513;8.03333333333;27971.0;1.37606575892;1129778.1;335365.290092;692.0;55762496;206228;13686975.0;3708212136.75
2015-05-01;276.8;31326721.7;6.81666666667;28024.0;1.8631924023;1166988.8;339405.835756;751.0;55856249;193982;13691175.0;3789717240.0
2015-06-01;276.8;22161280.1128;7.63333333333;28073.0;1.92972231619;1089761.6;317182.834605;639.0;55943409;179154;13695100.0;3790803680.0
2015-07-01;276.8;19503050.5635;7.43333333333;28124.0;1.44844673743;1027758.4;299000.379118;598.0;56036321;180992;13698800.0;3791827840.0
2015-08-01;276.8;16844821.0141;9.71666666667;28176.0;1.82091455184;938075.2;272736.832304;943.0;56135447;186319;13702175.0;3792762040.0
2015-09-01;276.8;16411870.6472;7.46666666667;28235.0;1.3529243812;1056268.8;307081.470446;691.0;56240658;201458;13705975.0;3793813880.0
2015-10-01;278.0;12735227.8125;8.61666666667;28293.0;1.42434707814;984120.0;284858.469295;833.0;56346553;251092;13709500.0;3811241000.0
2015-11-01;272.25;12162899.0709;8.9;28344.0;2.52603337432;1004330.25;296980.106286;755.0;56440510;209755;13713175.0;3733411893.75
2015-12-01;270.0;12816791.9462;7.1;28400.0;2.17906497131;1115640.0;358478.281007;655.0;56538695;185802;13717275.0;3703664250.0
2015-13-01;230.89;55435210.3932;10.95;28455.0;0.778878761966;609318.71;229513.533571;584.0;56637785;199744;13719900.0;3167787711.0
2015-14-01;176.5;75765080.8212;8.46666666667;28518.0;0.843221826756;668935.0;330062.319708;607.0;56742266;228898;13723675.0;2422228637.5
2015-15-01;218.11;58159451.6668;8.41666666667;28578.0;0.95723611038;761422.01;303832.201585;824.0;56858053;212403;13727150.0;2994028686.5
2015-16-01;205.35;27461799.4668;8.2;28637.0;1.37047797482;768009.0;325690.633354;731.0;56970583;219873;13730875.0;2819635181.25
2015-17-01;197.12;17720961.7024;8.43333333333;28689.0;1.80850578675;677501.44;299460.515231;633.0;57060422;254267;13734300.0;2707305216.0
2015-18-01;211.18;22608073.58;8.13333333333;28740.0;2.45422898125;789179.66;325690.633354;703.0;57147469;223392;13738025.0;2901196119.5
2015-19-01;212.39;14708752.3904;7.85;28795.0;2.5408594262;826197.1;338805.692415;740.0;57241565;197559;13741900.0;2918642141.0
2015-20-01;212.99;20941858.2344;9.63333333333;28847.0;1.6255303414;641951.86;262301.181225;653.0;57340455;194860;13744900.0;2927526251.0
2015-21-01;215.2;24048570.7942;9.8;28902.0;0.830006437351;739857.6;299460.515231;830.0;57440706;197159;13748325.0;2958639540.0
2015-22-01;233.9;29762722.0422;8.33333333333;28955.0;1.45342865317;880165.7;327876.476531;683.0;57535685;188687;13752075.0;3216610342.5
2015-23-01;233.03;20711796.5944;9.11666666667;29002.0;1.6577349237;725422.39;271044.553932;565.0;57622902;179966;13755175.0;3205368430.25
2015-24-01;244.64;20145938.4825;9.48333333333;29050.0;1.5591440338;742971.68;264487.024401;520.0;57712532;172854;13758200.0;3365806048.0
2015-25-01;247.11;27596035.9584;9.03333333333;29101.0;2.23054184168;781361.82;275416.240286;621.0;57794890;256121;13761350.0;3400567198.5
2015-26-01;271.47;100720023.703;10.2666666667;29167.0;0.897834927459;866260.77;277602.083463;540.0;57900313;236920;13764525.0;3736655601.75
2015-27-01;266.03;39431712.1896;8.05;29223.0;1.48977181071;967817.14;316947.260646;465.0;57999348;204121;13768150.0;3662740944.5
2015-28-01;249.25;42321101.3896;6.95;29270.0;2.35809071378;987528.5;324166.338972;566.0;58088635;165874;13772100.0;3432695925.0
2015-29-01;233.19;28900320.0726;6.83333333333;29315.0;1.81543640443;993622.59;348786.567248;692.0;58177154;171619;13776350.0;3212507056.5
2015-30-01;230.11;23737084.1413;9.31666666667;29360.0;1.8072914447;802163.46;285184.310868;554.0;58263514;167768;13779825.0;3170875530.75
2015-31-01;229.7;18587806.7915;8.28333333333;29410.0;2.42639584372;892843.9;318011.281903;612.0;58347276;239182;13783700.0;3166115890.0
2015-01-02;220.72;27543601.0008;6.5;29454.0;2.63834550131;940487.92;348786.567248;476.0;58426469;208727;13787950.0;3043276324.0
2015-02-02;223.0;20208902.1363;8.46666666667;29502.0;2.42851771355;822201.0;301597.796385;501.0;58509699;185554;13791625.0;3075532375.0
2015-03-02;236.51;25380351.1742;9.06666666667;29554.0;1.58660614406;801295.88;276977.568109;646.0;58603198;207461;13795000.0;3262655450.0
2015-04-02;222.56;30551800.212;7.3;29602.0;2.0200266368;898474.72;330321.396041;618.0;58692551;198955;13799025.0;3071111004.0
2015-05-02;217.37;18353317.038;7.48333333333;29650.0;1.7796594083;801443.19;301597.796385;690.0;58782579;181629;13802700.0;3000292899.0
2015-06-02;220.47;19144002.4733;7.03333333333;29695.0;2.27010702508;966981.42;359044.995697;658.0;58866019;186259;13807075.0;3044045825.25
2015-07-02;225.16;19150007.3408;7.05;29742.0;2.62956170562;970889.92;352889.938628;690.0;58952226;180449;13811375.0;3109769195.0
2015-08-02;223.5;14151642.784;9.21666666667;29792.0;2.13897882255;717658.5;262615.768281;767.0;59034942;251391;13814575.0;3087557512.5
2015-09-02;220.39;23588351.1217;8.06666666667;29849.0;2.16171738581;856876.32;342533.060668;664.0;59130802;197636;13818450.0;3045448195.5
2015-10-02;220.16;17604948.4605;7.7;29903.0;1.88701381077;828682.24;331483.607098;636.0;59234353;189629;13822200.0;3043095552.0
2015-11-02;221.99;13688603.9136;7.68333333333;29959.0;1.9312943818;835570.36;331483.607098;654.0;59333054;189188;13825950.0;3069222640.5
2015-12-02;221.83;11937945.2917;7.75;30011.0;2.25785090417;757105.79;300545.137102;638.0;59426922;202264;13829350.0;3067764710.5
