,marketPriceBTCInUSD,tradeVolume,medianConfirmationTime,blocksSize,costPerTransactionPercent,difficulty,hashRate,numberOfTransactionsPerBlock,totalTransactions,totalAdressesTransactions,numberOfcirculatingBitcoins,marketCapitalization
2016-01-01:00,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:01,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:02,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:03,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:04,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:05,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:06,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:07,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:08,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:09,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:10,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:11,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:12,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:13,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:14,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:15,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:16,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:17,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:18,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:19,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:20,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:21,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:22,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-01-01:23,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924,232199,15031975.0,6498773751.75
2016-02-01:00,433.94,15069490.9225,10.0333333333,53789.0,3.26496108967,1498828.76,707457.005908,1235.0,101390828,334703,15035400.0,6524461476.0
2016-02-01:01,433.94,15069490.9225,10.0333333333,53789.0,3.26496108967,1498828.76,707457.005908,1235.0,101390828,334703,15035400.0,6524461476.0
2016-02-01:02,433.94,15069490.9225,10.0333333333,53789.0,3.26496108967,1498828.76,707457.005908,1235.0,101390828,334703,15035400.0,6524461476.0
2016-02-01:03,433.94,15069490.9225,10.0333333333,53789.0,3.26496108967,1498828.76,707457.005908,1235.0,101390828,334703,15035400.0,6524461476.0
2016-02-01:04,433.94,15069490.9225,10.0333333333,53789.0,3.26496108967,1498828.76,707457.005908,1235.0,101390828,334703,15035400.0,6524461476.0
2016-02-01:05,433.94,15069490.9225,10.0333333333,53789.0,3.26496108967,1498828.76,707457.005908,1235.0,101390828,334703,15035400.0,6524461476.0
2016-02-01:06,433.94,15069490.9225,10.0333333333,53789.0,3.26496108967,1498828.76,707457.005908,1235.0,101390828,334703,15035400.0,6524461476.0
2016-02-01:07,433.94,15069490.9225,10.0333333333,53789.0,3.26496108967,1498828.76,707457.005908,1235.0,101390828,334703,15035400.0,6524461476.0
