date;Bitcoin
2014-01-01;29
2014-01-02;31
2014-01-03;36
2014-01-04;32
2014-01-05;34
2014-01-06;43
2014-01-07;39
2014-01-08;37
2014-01-09;38
2014-01-10;39
2014-01-11;33
2014-01-12;32
2014-01-13;33
2014-01-14;34
2014-01-15;35
2014-01-16;42
2014-01-17;41
2014-01-18;29
2014-01-19;32
2014-01-20;37
2014-01-21;39
2014-01-22;42
2014-01-23;38
2014-01-24;37
2014-01-25;30
2014-01-26;30
2014-01-27;44
2014-01-28;49
2014-01-29;36
2014-01-30;33
2014-01-31;30
2014-02-01;27
2014-02-02;28
2014-02-03;28
2014-02-04;29
2014-02-05;28
2014-02-06;30
2014-02-07;42
2014-02-08;32
2014-02-09;31
2014-02-10;49
2014-02-11;46
2014-02-12;38
2014-02-13;35
2014-02-14;45
2014-02-15;30
2014-02-16;34
2014-02-17;32
2014-02-18;34
2014-02-19;33
2014-02-20;38
2014-02-21;35
2014-02-22;28
2014-02-23;27
2014-02-24;43
2014-02-25;100
2014-02-26;76
2014-02-27;48
2014-02-28;70
2014-03-01;49
2014-03-02;37
2014-03-03;38
2014-03-04;38
2014-03-05;43
2014-03-06;65
2014-03-07;77
2014-03-08;38
2014-03-09;32
2014-03-10;32
2014-03-11;29
2014-03-12;28
2014-03-13;24
2014-03-14;24
2014-03-15;20
2014-03-16;18
2014-03-17;23
2014-03-18;23
2014-03-19;21
2014-03-20;23
2014-03-21;28
2014-03-22;22
2014-03-23;20
2014-03-24;20
2014-03-25;26
2014-03-26;27
2014-03-27;26
2014-03-28;25
2014-03-29;19
2014-03-30;21
2014-03-31;22
2014-04-01;20
2014-04-02;22
2014-04-03;21
2014-04-04;19
2014-04-05;17
2014-04-06;16
2014-04-07;18
2014-04-08;18
2014-04-09;20
2014-04-10;24
2014-04-11;22
2014-04-12;17
2014-04-13;16
2014-04-14;18
2014-04-15;19
2014-04-16;20
2014-04-17;18
2014-04-18;16
2014-04-19;16
2014-04-20;14
2014-04-21;16
2014-04-22;16
2014-04-23;16
2014-04-24;16
2014-04-25;16
2014-04-26;13
2014-04-27;14
2014-04-28;16
2014-04-29;15
2014-04-30;16
2014-05-01;16
2014-05-02;14
2014-05-03;12
2014-05-04;13
2014-05-05;16
2014-05-06;15
2014-05-07;14
2014-05-08;15
2014-05-09;14
2014-05-10;12
2014-05-11;12
2014-05-12;12
2014-05-13;14
2014-05-14;13
2014-05-15;14
2014-05-16;14
2014-05-17;12
2014-05-18;12
2014-05-19;14
2014-05-20;15
2014-05-21;14
2014-05-22;15
2014-05-23;15
2014-05-24;13
2014-05-25;16
2014-05-26;16
2014-05-27;17
2014-05-28;16
2014-05-29;18
2014-05-30;17
2014-05-31;16
2014-06-01;17
2014-06-02;56
2014-06-03;63
2014-06-04;59
2014-06-05;53
2014-06-06;50
2014-06-07;43
2014-06-08;47
2014-06-09;46
2014-06-10;52
2014-06-11;56
2014-06-12;66
2014-06-13;68
2014-06-14;55
2014-06-15;52
2014-06-16;61
2014-06-17;58
2014-06-18;58
2014-06-19;54
2014-06-20;52
2014-06-21;41
2014-06-22;48
2014-06-23;48
2014-06-24;46
2014-06-25;44
2014-06-26;45
2014-06-27;54
2014-06-28;45
2014-06-29;43
2014-06-30;51
2014-07-01;54
2014-07-02;55
2014-07-03;54
2014-07-04;48
2014-07-05;43
2014-07-06;49
2014-07-07;51
2014-07-08;46
2014-07-09;46
2014-07-10;48
2014-07-11;51
2014-07-12;44
2014-07-13;43
2014-07-14;46
2014-07-15;45
2014-07-16;54
2014-07-17;52
2014-07-18;50
2014-07-19;51
2014-07-20;47
2014-07-21;50
2014-07-22;50
2014-07-23;47
2014-07-24;47
2014-07-25;44
2014-07-26;42
2014-07-27;42
2014-07-28;50
2014-07-29;47
2014-07-30;51
2014-07-31;46
2014-08-01;46
2014-08-02;43
2014-08-03;43
2014-08-04;43
2014-08-05;49
2014-08-06;55
2014-08-07;52
2014-08-08;49
2014-08-09;41
2014-08-10;44
2014-08-11;46
2014-08-12;50
2014-08-13;69
2014-08-14;63
2014-08-15;59
2014-08-16;57
2014-08-17;49
2014-08-18;62
2014-08-19;57
2014-08-20;52
2014-08-21;50
2014-08-22;52
2014-08-23;46
2014-08-24;45
2014-08-25;45
2014-08-26;45
2014-08-27;44
2014-08-28;43
2014-08-29;45
2014-08-30;45
2014-08-31;47
2014-09-01;54
2014-09-02;54
2014-09-03;49
2014-09-04;51
2014-09-05;48
2014-09-06;46
2014-09-07;43
2014-09-08;51
2014-09-09;56
2014-09-10;60
2014-09-11;68
2014-09-12;54
2014-09-13;42
2014-09-14;46
2014-09-15;48
2014-09-16;45
2014-09-17;46
2014-09-18;51
2014-09-19;56
2014-09-20;46
2014-09-21;48
2014-09-22;44
2014-09-23;54
2014-09-24;59
2014-09-25;48
2014-09-26;48
2014-09-27;42
2014-09-28;45
2014-09-29;53
2014-09-30;50
2014-10-01;49
2014-10-02;47
2014-10-03;48
2014-10-04;51
2014-10-05;66
2014-10-06;63
2014-10-07;56
2014-10-08;54
2014-10-09;58
2014-10-10;49
2014-10-11;46
2014-10-12;46
2014-10-13;49
2014-10-14;54
2014-10-15;52
2014-10-16;48
2014-10-17;45
2014-10-18;44
2014-10-19;45
2014-10-20;45
2014-10-21;45
2014-10-22;44
2014-10-23;46
2014-10-24;43
2014-10-25;40
2014-10-26;39
2014-10-27;42
2014-10-28;42
2014-10-29;42
2014-10-30;41
2014-10-31;41
2014-11-01;39
2014-11-02;40
2014-11-03;45
2014-11-04;40
2014-11-05;43
2014-11-06;47
2014-11-07;48
2014-11-08;44
2014-11-09;47
2014-11-10;52
2014-11-11;52
2014-11-12;58
2014-11-13;59
2014-11-14;49
2014-11-15;46
2014-11-16;50
2014-11-17;45
2014-11-18;48
2014-11-19;48
2014-11-20;45
2014-11-21;43
2014-11-22;40
2014-11-23;37
2014-11-24;45
