Time,avg,max,min
2016-01-01 00:00:00 UTC,433.2339625822,437.15,427.92
2016-01-02 00:00:00 UTC,435.026407695,437.56,432.41
2016-01-03 00:00:00 UTC,431.3437076292,435.75,425.02
2016-01-04 00:00:00 UTC,433.5848399279,435.79,431.37
2016-01-05 00:00:00 UTC,433.3474026306,435.64,430
2016-01-06 00:00:00 UTC,431.8999487204,433.46,428.15
2016-01-07 00:00:00 UTC,449.9759124674,460.15,430.64
2016-01-08 00:00:00 UTC,456.2707766698,464.4,447.53
2016-01-09 00:00:00 UTC,451.9934889624,456,447.66
2016-01-10 00:00:00 UTC,446.714425352,451.39,442.96
2016-01-11 00:00:00 UTC,448.9480145464,452.65,445.88
2016-01-12 00:00:00 UTC,446.9234942645,449.44,431.83
2016-01-13 00:00:00 UTC,431.1664336392,437.5,425
2016-01-14 00:00:00 UTC,431.9044189976,435.27,428
2016-01-15 00:00:00 UTC,399.5313790852,430.29,357.3
2016-01-16 00:00:00 UTC,371.1723664324,391,350.92
2016-01-17 00:00:00 UTC,384.0407564191,391,372
2016-01-18 00:00:00 UTC,380.3609057261,386.1,370.1
2016-01-19 00:00:00 UTC,381.0635520415,385.5,370
2016-01-20 00:00:00 UTC,391.1168600479,425.1,369
2016-01-21 00:00:00 UTC,413.255169343,424.78,403.21
2016-01-22 00:00:00 UTC,393.9636305199,413.99,373.86
2016-01-23 00:00:00 UTC,390.0686815687,398.72,382.55
2016-01-24 00:00:00 UTC,397.0603825867,406.93,387.49
2016-01-25 00:00:00 UTC,396.2517386244,403.04,386.41
2016-01-26 00:00:00 UTC,393.1266931711,397,387.78
2016-01-27 00:00:00 UTC,394.3647618887,397.18,390.7
2016-01-28 00:00:00 UTC,384.1681390573,395,377.12
2016-01-29 00:00:00 UTC,376.9916842674,385.05,363.25
2016-01-30 00:00:00 UTC,379.1018329244,382.04,375
2016-01-31 00:00:00 UTC,379.5479716835,382.5,365
2016-02-01 00:00:00 UTC,373.1179575438,379,366.26
2016-02-02 00:00:00 UTC,372.8273468251,374.41,371.17
2016-02-03 00:00:00 UTC,371.0379013017,373.01,365.63
2016-02-04 00:00:00 UTC,377.1069709514,390.63,368.74
2016-02-05 00:00:00 UTC,385.9123459589,389.36,382.99
2016-02-06 00:00:00 UTC,375.6457662183,384.54,370.05
2016-02-07 00:00:00 UTC,376.5106226796,379.81,373.24
2016-02-08 00:00:00 UTC,376.1179691286,379.35,370.5
2016-02-09 00:00:00 UTC,371.9816648416,374.93,370.13
2016-02-10 00:00:00 UTC,376.069346231,383.34,371.87
2016-02-11 00:00:00 UTC,375.3652832162,379.5,361.1
2016-02-12 00:00:00 UTC,379.9872740888,382.05,377.46
2016-02-13 00:00:00 UTC,388.4677307049,396,381.99
2016-02-14 00:00:00 UTC,399.0448914462,406.92,391
2016-02-15 00:00:00 UTC,402.299402877,409.09,394.03
2016-02-16 00:00:00 UTC,402.9983843636,407.5,390
2016-02-17 00:00:00 UTC,414.1963496007,420.13,405.69
2016-02-18 00:00:00 UTC,419.6370450805,423.2,415.01
2016-02-19 00:00:00 UTC,419.5484992182,422,416
2016-02-20 00:00:00 UTC,431.0838498303,444.03,420.09
2016-02-21 00:00:00 UTC,437.9496575064,448.7,426.01
2016-02-22 00:00:00 UTC,436.1393276548,439,430.95
2016-02-23 00:00:00 UTC,426.7843632021,440.9,414.16
2016-02-24 00:00:00 UTC,420.9340125911,425.6,410
2016-02-25 00:00:00 UTC,422.9474635869,426.44,418.6
2016-02-26 00:00:00 UTC,423.3414328418,430.85,419.53
2016-02-27 00:00:00 UTC,432.1415709164,434.97,430.14
2016-02-28 00:00:00 UTC,429.634916921,436.07,423
2016-02-29 00:00:00 UTC,436.1545683113,442,431.13
2016-03-01 00:00:00 UTC,433.4222231937,437.78,427.5
2016-03-02 00:00:00 UTC,430.7489859302,435.36,418.36
2016-03-03 00:00:00 UTC,418.1928940653,422.8,408.63
2016-03-04 00:00:00 UTC,417.4140244008,422.21,405.5
2016-03-05 00:00:00 UTC,398.0217147953,408.83,381.09
2016-03-06 00:00:00 UTC,401.7694794508,409.27,385.01
2016-03-07 00:00:00 UTC,407.3252975831,418.74,395
2016-03-08 00:00:00 UTC,411.9615731132,416.33,407.4
2016-03-09 00:00:00 UTC,411.3105932646,414,408.75
2016-03-10 00:00:00 UTC,413.4698453372,416.52,410.71
2016-03-11 00:00:00 UTC,418.6506788494,421,414.97
2016-03-12 00:00:00 UTC,413.7087392962,421.3,406.52
2016-03-13 00:00:00 UTC,413.0608596622,416.38,410.01
2016-03-14 00:00:00 UTC,413.6649206883,415.84,411.61
2016-03-15 00:00:00 UTC,415.1839460284,416.94,412.48
2016-03-16 00:00:00 UTC,414.9934939268,416.39,413
2016-03-17 00:00:00 UTC,418.1440881154,419.75,415.7
2016-03-18 00:00:00 UTC,412.8820351766,418.66,399.21
2016-03-19 00:00:00 UTC,408.4678671827,411,404.72
2016-03-20 00:00:00 UTC,411.519644566,415.34,409.36
2016-03-21 00:00:00 UTC,409.5473028538,412.13,406.89
2016-03-22 00:00:00 UTC,415.6727534273,417.79,411
2016-03-23 00:00:00 UTC,417.0375524771,418.99,413.95
2016-03-24 00:00:00 UTC,415.7221869764,417.72,410
2016-03-25 00:00:00 UTC,414.8247494591,416.87,411
2016-03-26 00:00:00 UTC,416.5075456484,417.77,414.37
2016-03-27 00:00:00 UTC,419.8796605681,426.5,416.35
2016-03-28 00:00:00 UTC,422.720592824,425.36,419.63
2016-03-29 00:00:00 UTC,418.3646405217,424.62,407.75
2016-03-30 00:00:00 UTC,413.1806136263,416.41,407.56
2016-03-31 00:00:00 UTC,415.1714417002,417.6,412.74
2016-04-01 00:00:00 UTC,416.223716403,417.68,414.12
2016-04-02 00:00:00 UTC,419.4133096433,420.5,417.04
2016-04-03 00:00:00 UTC,419.6768168224,420.8,418.33
2016-04-04 00:00:00 UTC,419.3829550871,421,417.58
2016-04-05 00:00:00 UTC,421.5155236215,423.43,418.01
2016-04-06 00:00:00 UTC,422.0014681337,423,420.61
2016-04-07 00:00:00 UTC,421.4505188735,422.74,419.41
2016-04-08 00:00:00 UTC,422.2307835016,424.65,415.71
2016-04-09 00:00:00 UTC,418.412340576,419.79,415.51
2016-04-10 00:00:00 UTC,421.922884038,423.99,419.46
2016-04-11 00:00:00 UTC,422.5808489165,424,420.15
2016-04-12 00:00:00 UTC,426.7267129105,429.77,423.14
2016-04-13 00:00:00 UTC,426.6187765544,429.44,423.59
2016-04-14 00:00:00 UTC,425.8190840565,428,424.52
2016-04-15 00:00:00 UTC,428.6724772037,431.1,425.72
2016-04-16 00:00:00 UTC,432.4016532965,434.89,429.89
2016-04-17 00:00:00 UTC,432.6644800358,434.93,429.15
2016-04-18 00:00:00 UTC,430.5973619845,434.46,428.44
2016-04-19 00:00:00 UTC,431.2019089541,438.2,429.22
2016-04-20 00:00:00 UTC,438.9925161612,444.07,436.17
2016-04-21 00:00:00 UTC,445.6076644029,453.8,441.99
2016-04-22 00:00:00 UTC,448.3100419585,452.95,445.07
2016-04-23 00:00:00 UTC,450.0167129106,455.84,447.03
2016-04-24 00:00:00 UTC,459.1328704625,465,454.55
2016-04-25 00:00:00 UTC,464.1141070032,472.38,454.65
2016-04-26 00:00:00 UTC,468.337922209,472.11,464.01
2016-04-27 00:00:00 UTC,461.9925973853,470.79,440.94
2016-04-28 00:00:00 UTC,446.3988111876,451.88,434.79
2016-04-29 00:00:00 UTC,452.8472828583,459.44,448.5
2016-04-30 00:00:00 UTC,456.0131775953,459.33,450.13
2016-05-01 00:00:00 UTC,455.2786455009,457.07,451.55
2016-05-02 00:00:00 UTC,449.0932288691,457.63,440.02
2016-05-03 00:00:00 UTC,448.7150934716,453.29,443.61
2016-05-04 00:00:00 UTC,449.6126584756,453.23,446.76
2016-05-05 00:00:00 UTC,449.4311244764,451.56,447
2016-05-06 00:00:00 UTC,454.2285267425,463.73,448.84
2016-05-07 00:00:00 UTC,461.4855284722,464,459.55
2016-05-08 00:00:00 UTC,461.1386400103,465,457.5
2016-05-09 00:00:00 UTC,461.9370312337,465.9,459.41
2016-05-10 00:00:00 UTC,457.561510081,465,448.2
2016-05-11 00:00:00 UTC,455.7005206008,458.65,452.5
2016-05-12 00:00:00 UTC,452.6509046195,456.57,449.27
2016-05-13 00:00:00 UTC,456.1706694014,458.03,453.84
2016-05-14 00:00:00 UTC,457.820761535,459.83,456
2016-05-15 00:00:00 UTC,460.3329884148,463.62,458.49
2016-05-16 00:00:00 UTC,458.5628838968,461.59,451.48
2016-05-17 00:00:00 UTC,455.6007522974,457.49,452.2
2016-05-18 00:00:00 UTC,456.1940596608,457.88,453.6
2016-05-19 00:00:00 UTC,450.4782013716,456.41,435
2016-05-20 00:00:00 UTC,442.9467902193,445.85,435.5
2016-05-21 00:00:00 UTC,445.5423900401,446.99,441.88
2016-05-22 00:00:00 UTC,444.640668157,446.45,440.89
2016-05-23 00:00:00 UTC,443.6758654753,446.3,440.79
2016-05-24 00:00:00 UTC,446.3675044291,448.5,440.5
2016-05-25 00:00:00 UTC,449.8569225411,452.42,446.86
2016-05-26 00:00:00 UTC,452.0810260549,454.99,449
2016-05-27 00:00:00 UTC,470.4273529619,476.75,454.35
2016-05-28 00:00:00 UTC,495.6766272623,539.49,470.13
2016-05-29 00:00:00 UTC,521.520541063,549.99,492.35
2016-05-30 00:00:00 UTC,531.2828041569,541,519
2016-05-31 00:00:00 UTC,533.3877519396,544.9,520.01
2016-06-01 00:00:00 UTC,533.3369665656,541.5,524.39
2016-06-02 00:00:00 UTC,536.1714672064,541.2,531.86
2016-06-03 00:00:00 UTC,554.9886108562,578,535.96
2016-06-04 00:00:00 UTC,576.6237181478,594.64,564.29
2016-06-05 00:00:00 UTC,577.7984374099,585,570.22
2016-06-06 00:00:00 UTC,583.0771945408,588.15,575
2016-06-07 00:00:00 UTC,582.7769799373,590.95,483.78
2016-06-08 00:00:00 UTC,579.0520376453,583.99,572.96
2016-06-09 00:00:00 UTC,579.2334978742,583.48,574
2016-06-10 00:00:00 UTC,578.2343909793,581,573.5
2016-06-11 00:00:00 UTC,586.5258259583,610,580.31
2016-06-12 00:00:00 UTC,642.9700696666,687.71,605
2016-06-13 00:00:00 UTC,692.1457126246,720,663.55
