Categorie: Alle categorieën,
,
Week,Bitcoin: (Wereldwijd)
2016-01-03,59
2016-01-10,62
2016-01-17,64
2016-01-24,54
2016-01-31,51
2016-02-07,52
2016-02-14,61
2016-02-21,54
2016-02-28,55
2016-03-06,52
2016-03-13,52
2016-03-20,51
2016-03-27,51
2016-04-03,52
2016-04-10,52
2016-04-17,52
2016-04-24,58
2016-05-01,91
2016-05-08,59
2016-05-15,55
2016-05-22,57
2016-05-29,74
2016-06-05,67
2016-06-12,93
2016-06-19,91
2016-06-26,75
2016-07-03,74
2016-07-10,68
2016-07-17,61
2016-07-24,61
2016-07-31,80
2016-08-07,61
2016-08-14,60
2016-08-21,60
2016-08-28,59
2016-09-04,62
2016-09-11,61
2016-09-18,60
2016-09-25,60
2016-10-02,59
2016-10-09,63
2016-10-16,59
2016-10-23,68
2016-10-30,74
2016-11-06,76
2016-11-13,74
2016-11-20,74
2016-11-27,77
2016-12-04,75
2016-12-11,73
2016-12-18,90
2016-12-25,100
