,marketPriceBTCInUSD,tradeVolume,medianConfirmationTime,blocksSize,costPerTransactionPercent,difficulty,hashRate,numberOfTransactionsPerBlock,totalTransactions,totalAdressesTransactions,numberOfcirculatingBitcoins,marketCapitalization
2016-01-01,432.33,20406959.2119,7.78333333333,53710.0,2.61508751253,1467328.02,697129.166406,1304.0,101247924.0,232199.0,15031975.0,6498773751.75
2016-02-01,433.94,15069490.9225,10.0333333333,53789.0,3.26496108967,1498828.76,707457.005908,1235.0,101390828.0,334703.0,15035400.0,6524461476.0
2016-03-01,428.13,23322149.802,7.13333333333,53867.0,3.09621802909,1604631.24,769424.042922,1085.0,101531892.0,295177.0,15039125.0,6438700586.25
2016-04-01,433.0,21949458.6916,6.38333333333,53962.0,2.34811922524,1906932.0,903685.956452,1121.0,101702068.0,363742.0,15043500.0,6513835500.0
2016-05-01,431.9,20487753.0816,6.73333333333,54067.0,1.96487252098,1774245.2,841718.919438,968.0,101889080.0,365051.0,15047575.0,6499047642.5
2016-06-01,430.75,19156844.9786,9.45,54160.0,1.59425154919,1477472.5,702293.086157,1057.0,102066558.0,338929.0,15050975.0,6483207481.25
2016-07-01,453.71,58478075.9822,10.0,54257.0,1.2929318122,1648782.14,743604.444166,1117.0,102244431.0,326219.0,15054575.0,6830411223.25
2016-08-01,447.04,41191540.305,7.21666666667,54366.0,1.62787431172,1971446.4,903685.956452,1252.0,102434432.0,366508.0,15058950.0,6731953008.0
2016-09-01,450.15,17656850.6046,7.21666666667,54462.0,2.56124588564,1802400.6,821063.240434,1389.0,102612806.0,371151.0,15062925.0,6780575688.75
2016-10-01,446.24,20063783.1186,6.68333333333,54552.0,2.23139857559,1909014.72,877866.357696,1504.0,102777493.0,363228.0,15067175.0,6723576172.0
2016-11-01,447.11,25254134.411,6.7,54660.0,1.79254076233,1914972.13,877866.357696,1369.0,102957264.0,365605.0,15071425.0,6738584831.75
2016-12-01,446.66,20987190.7616,6.73333333333,54763.0,1.99941861437,1980490.44,908849.876203,1386.0,103153920.0,372889.0,15075825.0,6733767994.5
2016-13-01,429.57,45901744.1211,7.45,54864.0,1.54323616908,1657710.63,862135.539442,1222.0,103345548.0,341119.0,15079650.0,6477765250.5
