date,Bitcoin
2016-01-01,26
2016-01-02,30
2016-01-03,29
2016-01-04,33
2016-01-05,33
2016-01-06,32
2016-01-07,39
2016-01-08,35
2016-01-09,33
2016-01-10,30
2016-01-11,30
2016-01-12,32
2016-01-13,33
2016-01-14,31
2016-01-15,44
2016-01-16,45
2016-01-17,38
2016-01-18,40
2016-01-19,38
2016-01-20,39
2016-01-21,37
2016-01-22,34
2016-01-23,31
2016-01-24,31
2016-01-25,31
2016-01-26,31
2016-01-27,31
2016-01-28,31
2016-01-29,30
2016-01-30,28
2016-01-31,27
2016-02-01,29
2016-02-02,28
2016-02-03,30
2016-02-04,28
2016-02-05,30
2016-02-06,27
2016-02-07,27
2016-02-08,25
2016-02-09,29
2016-02-10,30
2016-02-11,30
2016-02-12,29
2016-02-13,28
2016-02-14,30
2016-02-15,32
2016-02-16,32
2016-02-17,33
2016-02-18,39
2016-02-19,35
2016-02-20,34
2016-02-21,34
2016-02-22,32
2016-02-23,32
2016-02-24,30
2016-02-25,31
2016-02-26,30
2016-02-27,29
2016-02-28,29
2016-02-29,29
2016-03-01,32
2016-03-02,31
2016-03-03,32
2016-03-04,30
2016-03-05,31
2016-03-06,30
2016-03-07,29
2016-03-08,28
2016-03-09,27
2016-03-10,30
2016-03-11,28
2016-03-12,27
2016-03-13,27
2016-03-14,30
2016-03-15,31
2016-03-16,29
2016-03-17,29
2016-03-18,29
2016-03-19,27
2016-03-20,27
2016-03-21,28
2016-03-22,28
2016-03-23,27
2016-03-24,28
2016-03-25,27
2016-03-26,26
2016-03-27,26
2016-03-28,28
2016-03-29,29
2016-03-30,28
2016-03-31,29
2016-04-01,28
2016-04-02,27
2016-04-03,26
2016-04-04,28
2016-04-05,28
2016-04-06,27
2016-04-07,30
2016-04-08,29
2016-04-09,26
2016-04-10,28
2016-04-11,29
2016-04-12,29
2016-04-13,27
2016-04-14,28
2016-04-15,28
2016-04-16,26
2016-04-17,26
2016-04-18,25
2016-04-19,29
2016-04-20,27
2016-04-21,31
2016-04-22,33
2016-04-23,29
2016-04-24,31
2016-04-25,33
2016-04-26,34
2016-04-27,32
2016-04-28,37
2016-04-29,32
2016-04-30,29
2016-05-01,30
2016-05-02,100
2016-05-03,62
2016-05-04,41
2016-05-05,45
2016-05-06,40
2016-05-07,35
2016-05-08,34
2016-05-09,36
2016-05-10,35
2016-05-11,35
2016-05-12,34
2016-05-13,30
2016-05-14,30
2016-05-15,31
2016-05-16,31
2016-05-17,30
2016-05-18,30
2016-05-19,33
2016-05-20,29
2016-05-21,29
2016-05-22,27
2016-05-23,30
2016-05-24,31
2016-05-25,30
2016-05-26,29
2016-05-27,35
2016-05-28,37
2016-05-29,42
2016-05-30,46
2016-05-31,45
2016-06-01,40
2016-06-02,48
2016-06-03,54
2016-06-04,50
2016-06-05,51
2016-06-06,54
2016-06-07,53
2016-06-08,48
2016-06-09,49
2016-06-10,45
2016-06-11,46
2016-06-12,70
2016-06-13,81
2016-06-14,66
2016-06-15,62
2016-06-16,75
2016-06-17,76
2016-06-18,66
2016-06-19,62
2016-06-20,64
2016-06-21,72
2016-06-22,64
2016-06-23,64
2016-06-24,92
2016-06-25,66
2016-06-26,57
2016-06-27,61
2016-06-28,60
2016-06-29,58
2016-06-30,54
2016-07-01,56
2016-07-02,57
2016-07-03,55
2016-07-04,53
2016-07-05,54
2016-07-06,54
2016-07-07,58
2016-07-08,58
2016-07-09,73
2016-07-10,59
2016-07-11,55
2016-07-12,52
2016-07-13,52
2016-07-14,52
2016-07-15,46
2016-07-16,45
2016-07-17,47
2016-07-18,47
2016-07-19,46
2016-07-20,44
2016-07-21,46
2016-07-22,44
2016-07-23,45
2016-07-24,45
2016-07-25,45
2016-07-26,47
2016-07-27,51
2016-07-28,48
2016-07-29,42
2016-07-30,44
2016-07-31,44
2016-08-01,47
2016-08-02,55
2016-08-03,100
2016-08-04,68
2016-08-05,55
2016-08-06,50
2016-08-07,50
2016-08-08,49
2016-08-09,50
2016-08-10,46
2016-08-11,45
2016-08-12,44
2016-08-13,40
2016-08-14,41
2016-08-15,47
2016-08-16,46
2016-08-17,44
2016-08-18,46
2016-08-19,44
2016-08-20,42
2016-08-21,40
2016-08-22,44
2016-08-23,47
2016-08-24,44
2016-08-25,44
2016-08-26,44
2016-08-27,44
2016-08-28,43
2016-08-29,43
2016-08-30,42
2016-08-31,43
2016-09-01,41
2016-09-02,41
2016-09-03,43
2016-09-04,44
2016-09-05,47
2016-09-06,45
2016-09-07,43
2016-09-08,47
2016-09-09,46
2016-09-10,44
2016-09-11,48
2016-09-12,46
2016-09-13,47
2016-09-14,45
2016-09-15,46
2016-09-16,44
2016-09-17,43
2016-09-18,44
2016-09-19,44
2016-09-20,44
2016-09-21,45
2016-09-22,43
2016-09-23,43
2016-09-24,41
2016-09-25,42
2016-09-26,43
2016-09-27,43
2016-09-28,42
2016-09-29,45
2016-09-30,42
2016-10-01,41
2016-10-02,41
2016-10-03,43
2016-10-04,42
2016-10-05,45
2016-10-06,41
2016-10-07,43
2016-10-08,44
2016-10-09,44
2016-10-10,45
2016-10-11,49
2016-10-12,47
2016-10-13,47
2016-10-14,46
2016-10-15,44
2016-10-16,42
2016-10-17,43
2016-10-18,46
2016-10-19,43
2016-10-20,43
2016-10-21,42
2016-10-22,44
2016-10-23,44
2016-10-24,45
2016-10-25,46
2016-10-26,48
2016-10-27,50
2016-10-28,57
2016-10-29,57
2016-10-30,51
2016-10-31,54
2016-11-01,59
2016-11-02,54
2016-11-03,54
2016-11-04,52
2016-11-05,56
2016-11-06,52
2016-11-07,51
2016-11-08,51
2016-11-09,70
2016-11-10,58
2016-11-11,51
2016-11-12,52
2016-11-13,50
2016-11-14,50
2016-11-15,54
2016-11-16,56
2016-11-17,58
2016-11-18,54
2016-11-19,54
2016-11-20,54
2016-11-21,52
2016-11-22,58
2016-11-23,54
2016-11-24,56
2016-11-25,53
2016-11-26,52
2016-11-27,52
2016-11-28,55
2016-11-29,56
2016-11-30,57
2016-12-01,55
2016-12-02,60
2016-12-03,55
2016-12-04,52
2016-12-05,55
2016-12-06,57
2016-12-07,58
2016-12-08,56
2016-12-09,57
2016-12-10,54
2016-12-11,51
2016-12-12,53
2016-12-13,56
2016-12-14,56
2016-12-15,53
2016-12-16,53
2016-12-17,54
2016-12-18,52
2016-12-19,53
2016-12-20,55
2016-12-21,67
2016-12-22,78
2016-12-23,88
2016-12-24,74
2016-12-25,71
2016-12-26,68
2016-12-27,75
2016-12-28,86
2016-12-29,84
